,0,1,2,3,4,5,6,7,8,9
abt__L_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ala__L_c,0.09331127484847623,0.09321382305410517,0.09311705654361666,0.09301960475478027,0.09292225899371842,0.09282538646954341,0.09272793468814912,0.09263116819835292,0.0925337164224396,0.0924362646484385
arg__L_c,0.026254144251406538,0.026120457021680022,0.0259869401020932,0.02585325276925899,0.025719382846750176,0.02558604831998996,0.02545236083004702,0.02531884367387116,0.02518515608081798,0.02505146843376398
asn__L_c,0.017086892229203617,0.017196078274132907,0.017305394281282024,0.017414580359196703,0.017523845506067514,0.01763308250854391,0.01774226863637997,0.017851584722184354,0.01796077088301839,0.018069957060787283
asp__L_c,0.40073192505919225,0.4002520360705156,0.39977506031225146,0.3992951711355158,0.39881545051997624,0.3983383058488187,0.39785841638370123,0.397381440210535,0.3969015505574996,0.39642166080412866
cys__L_c,0.0027896080918207236,0.002817937490540205,0.0028462916676920526,0.002874621091723512,0.0029029874606841762,0.002931304741805915,0.002959634204257673,0.0029879884407923996,0.0030163179285626084,0.0030446474294405558
gln__L_c,0.18255376274391874,0.18254087536708408,0.1825293812665624,0.18251649385663582,0.18250410275347514,0.1824921122732432,0.18247922481583434,0.1824677306171859,0.18245484312704405,0.18244195562247975
glu__L_c,0.901397566587307,0.9009250076527952,0.9010276648350315,0.9005692886644185,0.899514961568102,0.8996592130840536,0.8992008368358636,0.8987491374198047,0.8976371061579499,0.8978323847976002
his__L_c,0.00944309422528549,0.009461426544685701,0.009479839117631103,0.009498171496788511,0.009516532625877379,0.009534916564335158,0.009553249034190081,0.00957166174733266,0.009589994276953787,0.009608326837514423
hom__L_c,0.08760421143379322,0.08751000646070427,0.08741644511315619,0.08732224021249171,0.08722800648591075,0.08713447410960662,0.08704026931738466,0.08694670815202943,0.0868525034322066,0.08675829874840404
ile__L_c,0.03431155714664769,0.03419626300838865,0.03408121140705654,0.033965917258790786,0.033850613833852516,0.03373557149282046,0.03362027732855703,0.03350522571046123,0.033389931536169815,0.03327463735588935
lac__L_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leu__L_c,0.7707442600318188,0.770334183440949,0.7699297878889894,0.7695197114185637,0.7691101346454778,0.7687052396511191,0.7682951633578381,0.7678907681388809,0.7674806919663838,0.7670706158505564
lys__L_c,0.03444484726548643,0.03433528727207059,0.03422596027257104,0.034116400171861974,0.03400679518349679,0.033897512866243026,0.03378795260216729,0.033678625355183366,0.03356906498377534,0.03345950455629737
mal__L_c,1.953134605711115,1.9529277763480377,1.9527299331082741,1.9525231043736317,1.9523168037977126,1.9521184336316186,1.95191160584678,1.9517137641228337,1.9515069369675013,1.951300110133442
met__L_c,0.014200557465186909,0.01420433028901306,0.014208219538691093,0.014211992437128368,0.014215808986050791,0.014219654729804819,0.014223427741370547,0.014227317167050155,0.014231090253236978,0.01423486337794023
orn__L_c,0.040246689557746365,0.04004175168656245,0.03983707489489634,0.03963213686565194,0.03942691893279003,0.03922252174298028,0.039017583472893656,0.03881290631854478,0.03860796789039375,0.03840302937946134
phe__L_c,0.019088657879770092,0.019201461001366566,0.01931443937898024,0.01942724268746388,0.019540095165365517,0.019653024733960273,0.019765828326261236,0.019878807140872177,0.019991610920081445,0.020104414796218963
pro__L_c,0.016657401604086252,0.016828081569765816,0.016998905395425676,0.01716958549032008,0.017340415100502257,0.017511089660618505,0.017681769951615814,0.017852594080689795,0.01802327450093892,0.01819395498807279
rbl__L_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ser__L_c,0.10078235751694131,0.10092273657982115,0.10106391226053127,0.10120429154798871,0.10134520985652608,0.10148584694756498,0.10162622657665718,0.10176740277868145,0.10190778263252022,0.10204816260340102
srb__L_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thr__L_c,0.06715547463271371,0.0670832591584002,0.06701153707336532,0.06693932165457087,0.07010921003917578,0.06679538426214637,0.06672316892648157,0.06665144698111175,0.06657923170094655,0.06650701644839369
trp__L_c,0.005707578918277164,0.005745021193505375,0.005782517963924366,0.005819960309706449,0.005857413365736014,0.005894899562068462,0.0059323420149694816,0.005969838950597004,0.0060072814740591346,0.0060447240340856774
tyr__L_c,0.014481871865977585,0.01451475905385298,0.015888833662233984,0.01595517516199694,0.014613497332815938,0.016087981939842753,0.016154323534125634,0.016220788839126084,0.014745297039452099,0.016353472184645654
val__L_c,0.039620734675049174,0.03966767710668435,0.039714906855425544,0.03976184930606999,0.03980885705605101,0.039856021544821214,0.039902964023599295,0.039950193822930635,0.039997136320708566,0.0400440788276117
gly_c,0.061348357904266064,0.06145078842848037,0.06155371183012555,0.061656142469608606,0.06175901707043053,0.06186149672901954,0.06196392754476577,0.06206685120684131,0.06216928213802078,0.06227171313017996
chor_c,0.03934260389501601,0.03952572922251488,0.039709193881384365,0.03989231949710315,0.0400754725499172,0.04025891032860061,0.040442036381731855,0.040625501717031734,0.04080862805841439,0.040991754548986736
