,FS_None_MC_None_VG_True,FS_None_MC_True_VG_None,FS_True_MC_None_VG_None,FS_True_MC_True_VG_True,FS_True_MC_False_VG_True,FS_False_MC_True_VG_True,FS_True_MC_False_VG_False,FS_False_MC_True_VG_False,FS_False_MC_False_VG_True
Protein biosynthesis,3.0120481927710836,4.658385093167701,6.302521008403361,9.146341463414632,0.0,0.0,0.0,0.0,0.0
Amino-acid biosynthesis,1.882530120481928,2.0865683229813663,0.0,0.0,0.0,4.4642857142857135,0.0,0.0,2.142137096774193
Histidine biosynthesis,3.0120481927710836,4.658385093167701,0.0,0.0,0.0,9.64285714285714,0.0,0.0,0.0
ATP synthesis,3.0120481927710836,4.658385093167702,0.0,0.0,0.0,10.714285714285714,0.0,0.0,0.0
rRNA processing,2.464403066812705,3.8114059853190287,5.156608097784568,7.483370288248338,0.0,0.0,0.0,0.0,0.0
Peptidoglycan synthesis,2.1514629948364887,3.327417923691215,0.0,0.0,0.0,6.887755102040815,0.0,0.0,0.0
Cell shape,2.1514629948364887,3.327417923691215,0.0,0.0,0.0,6.887755102040815,0.0,0.0,0.0
Purine biosynthesis,2.3033309709425938,3.0142491779320424,0.0,0.0,0.0,6.302521008403361,0.0,0.0,0.0
Cell division,2.4096385542168672,3.726708074534161,0.0,0.0,0.0,7.5,0.0,0.0,0.0
Cell cycle,2.4096385542168672,3.726708074534161,0.0,0.0,0.0,7.5,0.0,0.0,0.0
Tryptophan biosynthesis,3.0120481927710845,4.658385093167702,0.0,0.0,0.0,10.714285714285714,0.0,0.0,0.0
Lysine biosynthesis,2.1905805038335155,3.387916431394692,0.0,0.0,0.0,7.792207792207793,0.0,0.0,0.0
Transcription,1.6218721037998147,2.150023889154324,3.6360698125404007,3.8696060037523456,0.0,0.0,0.0,0.0,0.0
Arginine biosynthesis,0.0,2.9644268774703555,0.0,0.0,0.0,6.8181818181818175,0.0,0.0,0.0
Hydrogen ion transport,0.0,2.329192546583851,0.0,0.0,0.0,5.357142857142857,0.0,0.0,0.0
Diaminopimelate biosynthesis,0.0,3.1055900621118013,0.0,0.0,0.0,7.142857142857142,0.0,0.0,0.0
Antibiotic resistance,2.008032128514056,2.717391304347826,3.6764705882352944,4.573170731707316,0.0,0.0,0.0,0.0,0.0
Threonine biosynthesis,0.0,4.658385093167702,0.0,0.0,0.0,10.714285714285714,0.0,0.0,0.0
Lipid biosynthesis,1.7570281124497993,0.0,3.4138655462184877,0.0,11.607142857142858,0.0,0.0,0.0,0.0
Lipid metabolism,0.0,0.0,2.5603991596638656,0.0,8.705357142857144,0.0,0.0,0.0,0.0
Teichoic acid biosynthesis,3.0120481927710836,0.0,6.302521008403361,0.0,21.428571428571427,0.0,0.0,0.0,0.0
Fatty acid biosynthesis,0.0,0.0,3.3936651583710407,0.0,11.53846153846154,0.0,0.0,0.0,0.0
Cell wall biogenesis/degradation,1.5896921017402943,0.0,1.7507002801120448,0.0,5.357142857142857,2.6785714285714284,0.0,0.0,0.0
Fatty acid metabolism,0.0,0.0,2.100840336134454,0.0,7.142857142857142,0.0,0.0,0.0,0.0
Phospholipid metabolism,0.0,0.0,3.5014005602240896,0.0,11.904761904761903,0.0,0.0,0.0,0.0
Phospholipid biosynthesis,0.0,0.0,3.5014005602240896,0.0,11.904761904761903,0.0,0.0,0.0,0.0
Translocation,0.0,0.0,3.1512605042016806,4.573170731707316,0.0,0.0,0.0,0.0,0.0
Transcription termination,0.0,0.0,6.302521008403361,9.146341463414632,0.0,0.0,0.0,0.0,0.0
tRNA processing,0.0,0.0,0.0,4.573170731707316,0.0,0.0,0.0,0.0,0.0
Protein transport,0.0,0.0,0.0,3.266550522648083,0.0,0.0,0.0,0.0,0.0
Ribosome biogenesis,0.0,0.0,0.0,6.859756097560974,0.0,0.0,0.0,0.0,0.0
Transcription regulation,0.0,0.0,2.8361344537815123,0.0,0.0,0.0,0.0,0.0,0.0
Sporulation,0.0,0.0,0.0,0.0,0.0,0.0,19.23076923076923,19.23076923076923,0.0
Isoprene biosynthesis,2.738225629791895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.997067448680351
Aromatic amino acid biosynthesis,2.8237951807228923,0.0,0.0,0.0,0.0,4.017857142857143,0.0,0.0,6.804435483870969
Menaquinone biosynthesis,2.5817555938037864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.368663594470043
Folate biosynthesis,3.0120481927710836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.368663594470043
Pyrimidine biosynthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.056451612903224
Leucine biosynthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.096774193548386
Riboflavin biosynthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.677419354838708
Pyridine nucleotide biosynthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.258064516129032
Branched-chain amino acid biosynthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.032258064516129
