,locus_id,in_model,FS_essential,VG_essential,active,depends on
acdA,BSU37170,True,False,False,True,"fadA, fadN, acdA, era"
acoA,BSU08060,True,False,False,False,
acoB,BSU08070,True,False,False,False,
acoC,BSU08080,False,False,False,False,
acsA,BSU29680,True,False,False,False,
addA,BSU10630,False,False,False,False,
argB,BSU11210,True,False,True,False,
argD,BSU11220,True,False,True,False,
argF,BSU11250,True,False,True,False,
argG,BSU29450,True,False,True,False,
argH,BSU29440,True,False,True,False,
argJ,BSU11200,True,False,True,False,
asnB,BSU30540,True,False,False,False,
bioB,BSU30200,True,False,False,False,
carB,BSU11240,True,False,False,False,
citB,BSU18000,True,False,False,True,"sufU, citB, icd"
citZ,BSU29140,True,False,False,False,
cysC,BSU15600,True,False,False,False,
dat,BSU09670,False,False,False,False,
dhaS,BSU19310,True,False,False,False,
dhbB,BSU31970,True,False,False,False,
dhbC,BSU31990,True,False,False,False,
dhbE,BSU31980,True,False,False,False,
divIVA,BSU15420,False,False,False,False,
etfA,BSU28520,False,False,False,False,
etfB,BSU28530,False,False,False,False,
fadN,BSU32840,True,False,False,True,"fadA, fadN"
ftsZ,BSU15290,False,False,False,False,
gapB,BSU29020,True,False,False,False,
glpX,BSU37090,False,False,False,False,
hemZ,BSU09840,True,False,False,False,
hpf,BSU35310,False,False,False,False,
ilvB,BSU28310,True,False,False,True,"sufU, ilvD, era, ilvC, ilvB, ilvH"
ilvC,BSU28290,True,False,True,True,"sufU, ilvD, ilvC"
ilvE,BSU02390,True,False,False,False,
leuA,BSU28280,True,False,True,False,
leuB,BSU28270,True,False,True,False,
leuD,BSU28250,True,False,True,False,
licH,BSU38560,True,False,False,False,
lutB,BSU34040,False,False,False,False,
lutC,BSU34030,False,False,False,False,
mdh,BSU29120,True,False,False,False,
metC,BSU11880,True,False,False,False,
metE,BSU13180,True,False,True,True,"metA, trxA, sat, cysH, yvrB, metE, metI, hom, sucD, sucC, samT"
metI,BSU11870,True,False,True,True,"metA, trxA, sat, cysH, metI, hom, sucD, sucC"
nadC,BSU27860,True,False,True,False,
ndh,BSU12290,True,False,False,False,
pabA,BSU00750,True,False,True,False,
pckA,BSU30560,True,False,False,False,
pdhD,BSU14610,True,False,False,True,"pdhD, nadD, odhA, odhB, era, maeS"
pksJ,BSU17180,False,False,False,False,
purC,BSU06450,True,False,True,False,
purL,BSU06480,True,False,False,False,
pyrAA,BSU15510,True,False,False,False,
pyrAB,BSU15520,True,False,False,False,
rapA,BSU12430,False,False,False,False,
rapC,BSU03770,False,False,False,False,
rapK,BSU18910,False,False,False,False,
rocD,BSU40340,True,False,False,False,
rsbW,BSU04720,False,False,False,False,
samT,BSU11010,True,False,True,True,"metA, trxA, sat, cysH, yvrB, metE, metI, hom, sucD, sucC, samT"
sat,BSU15590,True,False,True,True,"metA, trxA, sat, cysH, metI, hom"
sdaAA,BSU15860,True,False,False,False,
sdaAB,BSU15850,True,False,False,False,
sdhA,BSU28440,True,False,False,False,
sdhB,BSU28430,True,False,False,False,
sigB,BSU04730,True,False,True,True,
sigE,BSU15320,True,False,True,True,
sigF,BSU23450,True,False,False,False,
skfB,BSU01920,False,False,False,False,
srfAB,BSU03490,False,False,False,False,
srfAC,BSU03510,False,False,False,False,
srfAD,BSU03520,False,False,False,False,
sucC,BSU16090,True,False,False,True,"sucD, sucC"
sucD,BSU16100,True,False,False,True,"sucD, sucC"
thrC,BSU32250,True,False,True,False,
thrD,BSU03790,True,False,False,False,
tuaD,BSU35580,True,False,False,False,
yceD,BSU02900,False,False,False,False,
ydjE,BSU06170,True,False,False,False,
yfmG,BSU07480,False,False,False,False,
yhaM,BSU09930,False,False,False,False,
ylmA,BSU15340,False,False,False,False,
ymaE,BSU17250,False,False,False,False,
yrpB,BSU26800,False,False,False,False,
yxbB,BSU39890,False,False,False,False,
yxbC,BSU39880,False,False,False,False,
yxjG,BSU38960,False,False,False,False,
yxjH,BSU38950,False,False,False,False,
